Policy_Sales_Channel,Policy_Sales_Channel_Encoding
1.0,0.032588454376163874
2.0,0.14397037352727016
3.0,0.30401529636711283
4.0,0.20039292730844793
6.0,0.10363157907041842
7.0,0.11389236545682102
8.0,0.08250825082508251
9.0,0.10059172340437847
10.0,0.1893939393922482
11.0,0.08977556109725686
12.0,0.1685823754789272
13.0,0.14745308310991956
14.0,0.10128617363344052
15.0,0.08783783783783784
16.0,0.08604206500956023
17.0,0.14862323562423296
18.0,0.035928179486402166
19.0,0.08558558564798668
20.0,0.11491110770627075
21.0,0.08108119560390593
22.0,0.05421686746988145
23.0,0.13744075829383887
24.0,0.132
25.0,0.19967532467532467
26.0,0.19938519447929737
27.0,0.15512000076493
28.0,0.15512000076493
29.0,0.1257413997627521
30.0,0.11063829787234042
31.0,0.25356576862123614
32.0,0.10821816524829425
33.0,0.10363157907041842
34.0,0.10363157907041842
35.0,0.1332894980633026
36.0,0.318919180943819
37.0,0.09868425471701874
38.0,0.08960099658577345
39.0,0.11649513872277295
40.0,0.12662946364365824
41.0,0.10661682920766598
42.0,0.19696867953678485
43.0,0.23672530357066385
44.0,0.19799690494732797
45.0,0.1472753859166871
46.0,0.0733771718953177
47.0,0.12692494655501158
48.0,0.08628168056907604
49.0,0.12975433471310668
50.0,0.10517761784292215
51.0,0.11040105141258497
52.0,0.10900473933649289
53.0,0.19648517694495193
54.0,0.15998744561827347
55.0,0.1495253164556962
56.0,0.18393362259332804
57.0,0.13668978054432834
58.0,0.11970327742570055
59.0,0.19684871894200787
60.0,0.10251450676982592
61.0,0.09671848013816926
62.0,0.13128770553951563
63.0,0.08934430914084024
64.0,0.0562466083380726
65.0,0.06888319925277182
66.0,0.09239872515017197
67.0,0.10197496981075128
68.0,0.14397037352727016
69.0,0.13128770553951563
70.0,0.10197496981075128
71.0,0.10020467578305707
73.0,0.1074193567538699
74.0,0.10517761784292215
75.0,0.10517761784292215
76.0,0.10197496981075128
78.0,0.12708504029857645
79.0,0.0983183536326126
80.0,0.1803748623951359
81.0,0.1803748623951359
82.0,0.10197496981075128
83.0,0.10197496981075128
84.0,0.10661682920766598
86.0,0.12486032168528141
87.0,0.15750458166662198
88.0,0.071432295067809
89.0,0.12975433471310668
90.0,0.2172600980909426
91.0,0.18354424186336676
92.0,0.12402214675689088
93.0,0.11192360689527217
94.0,0.19059892885301685
95.0,0.09195440026960253
96.0,0.0733771718953177
97.0,0.1074193567538699
98.0,0.08321915632072568
99.0,0.09631457682163873
100.0,0.15206178470885584
101.0,0.15750458166662198
102.0,0.10363157907041842
103.0,0.12498663187089389
104.0,0.10020467578305707
105.0,0.10363157907041842
106.0,0.22653126967427714
107.0,0.039799149417832844
108.0,0.03996861000837498
109.0,0.12000000047560372
110.0,0.11341367858439941
111.0,0.13227303303284826
112.0,0.10517761784292215
113.0,0.06732011470869585
114.0,0.12708504029857645
115.0,0.10197496981075128
116.0,0.11688312548949248
117.0,0.09631457682163873
118.0,0.06738950277864296
119.0,0.048562079884007556
120.0,0.08452535760728218
121.0,0.29476087262106176
122.0,0.1732124874118832
123.0,0.23672530357066385
124.0,0.18914791539968917
125.0,0.12378167641325535
126.0,0.10020467578305707
127.0,0.072733422230271
128.0,0.0948907404606167
129.0,0.07270487774899653
130.0,0.10515876720609801
131.0,0.11570276116923828
132.0,0.06537372067909733
133.0,0.04717216960157313
134.0,0.08960099658577345
135.0,0.08911906254465782
136.0,0.21621620982384424
137.0,0.09419298058361024
138.0,0.09677497835290802
139.0,0.09090923499058433
140.0,0.06543007834191254
143.0,0.10661682920766598
144.0,0.10661682920766598
145.0,0.13218390607326064
146.0,0.0733771718953177
147.0,0.1847826040021695
148.0,0.10395835560196405
149.0,0.10661682920766598
150.0,0.24358974358971838
151.0,0.031402831402831406
152.0,0.0286235754985755
153.0,0.05930807248764415
154.0,0.24595361254797263
155.0,0.320097244732577
156.0,0.21545821217521807
157.0,0.26840215439856374
158.0,0.27439024390243905
159.0,0.02404597289931116
160.0,0.021810000459157906
163.0,0.3041825095057034
